,CH1,CH2
Second,Volt,Volt
-4.00000e-03,4.48e+00,5.12e+00, 
-3.60000e-03,4.24e+00,5.12e+00, 
-3.20000e-03,4.24e+00,5.12e+00, 
-2.80000e-03,3.92e+00,5.20e+00, 
-2.40000e-03,3.92e+00,5.12e+00, 
-2.00000e-03,3.68e+00,5.12e+00, 
-1.60000e-03,3.60e+00,5.12e+00, 
-1.20000e-03,3.28e+00,5.12e+00, 
-8.00000e-04,3.20e+00,5.12e+00, 
-4.00000e-04,2.80e+00,5.12e+00, 
0.00000e+00,2.72e+00,5.12e+00, 
4.00000e-04,2.24e+00,-8.00e-02, 
8.00000e-04,2.16e+00,-8.00e-02, 
1.20000e-03,1.84e+00,-8.00e-02, 
1.60000e-03,1.84e+00,-8.00e-02, 
2.00000e-03,1.52e+00,-8.00e-02, 
2.40000e-03,1.52e+00,-8.00e-02, 
2.80000e-03,1.28e+00,-8.00e-02, 
3.20000e-03,1.28e+00,-8.00e-02, 
3.60000e-03,8.80e-01,-1.60e-01, 
4.00000e-03,9.60e-01,-8.00e-02, 
4.40000e-03,8.00e-01,-8.00e-02, 
4.80000e-03,8.00e-01,-8.00e-02, 
5.20000e-03,8.80e-01,-8.00e-02, 
5.60000e-03,8.00e-01,-8.00e-02, 
6.00000e-03,1.04e+00,-8.00e-02, 
6.40000e-03,8.80e-01,-8.00e-02, 
6.80000e-03,1.28e+00,0.00e+00, 
7.20000e-03,1.28e+00,-8.00e-02, 
7.60000e-03,1.44e+00,-8.00e-02, 
8.00000e-03,1.52e+00,-8.00e-02, 
8.40000e-03,1.84e+00,-8.00e-02, 
8.80000e-03,1.92e+00,-8.00e-02, 
9.20000e-03,2.24e+00,-8.00e-02, 
9.60000e-03,2.24e+00,-8.00e-02, 
1.00000e-02,2.80e+00,5.20e+00, 
1.04000e-02,2.88e+00,5.12e+00, 
1.08000e-02,3.28e+00,5.28e+00, 
1.12000e-02,3.36e+00,5.20e+00, 
1.16000e-02,3.68e+00,5.12e+00, 
1.20000e-02,3.68e+00,5.12e+00, 
1.24000e-02,3.92e+00,5.28e+00, 
1.28000e-02,3.92e+00,5.12e+00, 
1.32000e-02,4.24e+00,5.20e+00, 
1.36000e-02,4.24e+00,5.12e+00, 
1.40000e-02,4.40e+00,5.20e+00, 
1.44000e-02,4.32e+00,5.12e+00, 
1.48000e-02,4.48e+00,5.12e+00, 
