,CH1,CH2
Second,Volt,Volt
3.96000e-02,0.00e+00,2.48e+00, 
3.98000e-02,-2.40e+01,2.80e+00, 
4.00000e-02,-2.80e+01,2.80e+00, 
4.02000e-02,-4.40e+01,3.12e+00, 
4.04000e-02,-4.40e+01,3.12e+00, 
4.06000e-02,-6.40e+01,3.36e+00, 
4.08000e-02,-6.80e+01,3.36e+00, 
4.10000e-02,-7.60e+01,3.44e+00, 
4.12000e-02,-8.00e+01,3.44e+00, 
4.14000e-02,-9.60e+01,3.68e+00, 
4.16000e-02,-9.60e+01,3.68e+00, 
4.18000e-02,-1.08e+02,3.60e+00, 
4.20000e-02,-1.12e+02,3.76e+00, 
4.22000e-02,-1.20e+02,3.92e+00, 
4.24000e-02,-1.20e+02,3.92e+00, 
4.26000e-02,-1.32e+02,4.16e+00, 
4.28000e-02,-1.32e+02,4.32e+00, 
4.30000e-02,-1.44e+02,4.16e+00, 
4.32000e-02,-1.48e+02,4.24e+00, 
4.34000e-02,-1.56e+02,4.48e+00, 
4.36000e-02,-1.56e+02,4.40e+00, 
4.38000e-02,-1.56e+02,4.56e+00, 
4.40000e-02,-1.56e+02,4.48e+00, 
4.42000e-02,-1.60e+02,4.40e+00, 
4.44000e-02,-1.56e+02,4.48e+00, 
4.46000e-02,-1.56e+02,4.40e+00, 
4.48000e-02,-1.56e+02,4.48e+00, 
4.50000e-02,-1.52e+02,4.40e+00, 
4.52000e-02,-1.56e+02,4.32e+00, 
4.54000e-02,-1.52e+02,4.48e+00, 
4.56000e-02,-1.56e+02,4.40e+00, 
4.58000e-02,-1.52e+02,4.64e+00, 
4.60000e-02,-1.52e+02,4.48e+00, 
4.62000e-02,-1.40e+02,4.32e+00, 
4.64000e-02,-1.36e+02,4.32e+00, 
4.66000e-02,-1.16e+02,4.00e+00, 
4.68000e-02,-1.16e+02,4.08e+00, 
4.70000e-02,-1.04e+02,3.92e+00, 
4.72000e-02,-1.04e+02,3.92e+00, 
4.74000e-02,-9.20e+01,3.68e+00, 
4.76000e-02,-8.80e+01,3.68e+00, 
4.78000e-02,-7.20e+01,3.52e+00, 
4.80000e-02,-7.20e+01,3.52e+00, 
4.82000e-02,-6.00e+01,3.28e+00, 
4.84000e-02,-5.60e+01,3.28e+00, 
4.86000e-02,-4.40e+01,3.12e+00, 
4.88000e-02,-4.40e+01,3.12e+00, 
4.90000e-02,-2.80e+01,2.96e+00, 
4.92000e-02,-2.40e+01,2.88e+00, 
4.94000e-02,-4.00e+00,2.64e+00, 
4.96000e-02,4.00e+00,2.64e+00, 
4.98000e-02,2.80e+01,2.24e+00, 
5.00000e-02,2.80e+01,2.24e+00, 
5.02000e-02,5.20e+01,2.00e+00, 
5.04000e-02,5.60e+01,2.00e+00, 
