,CH1,CH2
Second,Volt,Volt
-5.00000e-04,1.96e+00,5.04e+00, 
-4.00000e-04,2.00e+00,5.12e+00, 
-3.00000e-04,1.96e+00,4.96e+00, 
-2.00000e-04,2.00e+00,5.12e+00, 
-1.00000e-04,-4.00e-02,-8.00e-02, 
0.00000e+00,0.00e+00,0.00e+00, 
1.00000e-04,4.00e-02,-8.00e-02, 
2.00000e-04,0.00e+00,-8.00e-02, 
3.00000e-04,4.00e-02,-8.00e-02, 
4.00000e-04,4.00e-02,-8.00e-02, 
5.00000e-04,0.00e+00,-8.00e-02, 
6.00000e-04,0.00e+00,-8.00e-02, 
7.00000e-04,4.00e-02,-8.00e-02, 
8.00000e-04,0.00e+00,-8.00e-02, 
9.00000e-04,0.00e+00,-8.00e-02, 
1.00000e-03,0.00e+00,-8.00e-02, 
1.10000e-03,4.00e-02,-1.60e-01, 
1.20000e-03,0.00e+00,-8.00e-02, 
1.30000e-03,0.00e+00,-8.00e-02, 
1.40000e-03,0.00e+00,-8.00e-02, 
1.50000e-03,0.00e+00,-8.00e-02, 
1.60000e-03,0.00e+00,-8.00e-02, 
1.70000e-03,4.00e-02,-8.00e-02, 
1.80000e-03,0.00e+00,-8.00e-02, 
1.90000e-03,4.00e-02,-8.00e-02, 
2.00000e-03,0.00e+00,-8.00e-02, 
2.10000e-03,4.00e-02,-8.00e-02, 
2.20000e-03,0.00e+00,-8.00e-02, 
2.30000e-03,0.00e+00,-8.00e-02, 
2.40000e-03,0.00e+00,-8.00e-02, 
2.50000e-03,0.00e+00,-8.00e-02, 
2.60000e-03,0.00e+00,-8.00e-02, 
2.70000e-03,0.00e+00,0.00e+00, 
2.80000e-03,0.00e+00,-8.00e-02, 
2.90000e-03,4.00e-02,-8.00e-02, 
3.00000e-03,0.00e+00,-8.00e-02, 
3.10000e-03,4.00e-02,-8.00e-02, 
3.20000e-03,4.00e-02,-8.00e-02, 
3.30000e-03,0.00e+00,0.00e+00, 
3.40000e-03,0.00e+00,-8.00e-02, 
3.50000e-03,4.00e-02,-8.00e-02, 
3.60000e-03,0.00e+00,-8.00e-02, 
3.70000e-03,4.00e-02,0.00e+00, 
3.80000e-03,0.00e+00,-8.00e-02, 
3.90000e-03,0.00e+00,0.00e+00, 
4.00000e-03,0.00e+00,-8.00e-02, 
4.10000e-03,0.00e+00,-8.00e-02, 
4.20000e-03,0.00e+00,-8.00e-02, 
4.30000e-03,0.00e+00,0.00e+00, 
4.40000e-03,0.00e+00,0.00e+00, 
4.50000e-03,4.00e-02,-8.00e-02, 
4.60000e-03,0.00e+00,-8.00e-02, 
4.70000e-03,4.00e-02,0.00e+00, 
4.80000e-03,0.00e+00,-8.00e-02, 
4.90000e-03,4.00e-02,-8.00e-02, 
5.00000e-03,0.00e+00,-8.00e-02, 
5.10000e-03,0.00e+00,0.00e+00, 
5.20000e-03,0.00e+00,-8.00e-02, 
5.30000e-03,0.00e+00,0.00e+00, 
5.40000e-03,0.00e+00,-8.00e-02, 
5.50000e-03,0.00e+00,0.00e+00, 
5.60000e-03,0.00e+00,0.00e+00, 
5.70000e-03,0.00e+00,-8.00e-02, 
5.80000e-03,0.00e+00,0.00e+00, 
5.90000e-03,8.00e-02,-8.00e-02, 
6.00000e-03,0.00e+00,-8.00e-02, 
6.10000e-03,4.00e-02,0.00e+00, 
6.20000e-03,4.00e-02,-8.00e-02, 
6.30000e-03,0.00e+00,0.00e+00, 
6.40000e-03,4.00e-02,-8.00e-02, 
6.50000e-03,0.00e+00,0.00e+00, 
6.60000e-03,0.00e+00,-8.00e-02, 
6.70000e-03,0.00e+00,0.00e+00, 
6.80000e-03,0.00e+00,0.00e+00, 
6.90000e-03,0.00e+00,-8.00e-02, 
7.00000e-03,0.00e+00,-8.00e-02, 
7.10000e-03,4.00e-02,0.00e+00, 
7.20000e-03,0.00e+00,-8.00e-02, 
7.30000e-03,4.00e-02,0.00e+00, 
7.40000e-03,0.00e+00,0.00e+00, 
7.50000e-03,4.00e-02,-8.00e-02, 
7.60000e-03,0.00e+00,-8.00e-02, 
7.70000e-03,4.00e-02,0.00e+00, 
7.80000e-03,0.00e+00,0.00e+00, 
7.90000e-03,0.00e+00,-8.00e-02, 
8.00000e-03,0.00e+00,-8.00e-02, 
8.10000e-03,0.00e+00,0.00e+00, 
8.20000e-03,0.00e+00,0.00e+00, 
8.30000e-03,0.00e+00,-8.00e-02, 
8.40000e-03,0.00e+00,-8.00e-02, 
8.50000e-03,4.00e-02,0.00e+00, 
8.60000e-03,0.00e+00,-8.00e-02, 
8.70000e-03,4.00e-02,0.00e+00, 
8.80000e-03,0.00e+00,-8.00e-02, 
8.90000e-03,8.00e-02,0.00e+00, 
9.00000e-03,0.00e+00,-8.00e-02, 
9.10000e-03,8.00e-02,0.00e+00, 
9.20000e-03,4.00e-02,-8.00e-02, 
9.30000e-03,0.00e+00,-8.00e-02, 
9.40000e-03,0.00e+00,-8.00e-02, 
9.50000e-03,0.00e+00,0.00e+00, 
9.60000e-03,0.00e+00,0.00e+00, 
9.70000e-03,0.00e+00,-8.00e-02, 
9.80000e-03,0.00e+00,-8.00e-02, 
9.90000e-03,2.08e+00,5.12e+00, 
1.00000e-02,0.00e+00,5.12e+00, 
1.01000e-02,4.00e-02,5.12e+00, 
1.02000e-02,0.00e+00,5.12e+00, 
1.03000e-02,4.00e-02,5.20e+00, 
1.04000e-02,4.00e-02,5.12e+00, 
1.05000e-02,0.00e+00,5.20e+00, 
